Ano,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,Media
1997,1069,1781,885,248,237,678,688,1056,546,2362,2296,1134,1082
1998,1370,1153,1407,2418,1587,458,1088,1818,1963,2679,660,545,1429
1999,519,814,632,654,325,770,1620,268,385,1151,388,299,652
2000,445,669,743,231,219,269,490,342,1863,1420,477,425,633
2001,979,1596,942,443,585,740,882,780,637,1872,562,682,892
2002,677,543,399,229,528,276,189,537,866,892,1088,1084,609
2003,547,652,602,229,142,491,454,189,168,304,504,1056,445
2004,727,351,289,256,602,753,759,296,312,978,1015,486,569
2005,467,251,182,293,593,852,552,461,2036,1957,1083,332,755
2006,284,294,292,257,95,80,95,132,352,428,332,466,259
2007,564,612,681,618,1516,686,376,255,218,458,1034,715,644
2008,690,422,399,488,838,647,393,669,397,1356,1329,287,660
2009,351,401,306,128,147,197,711,1047,1647,2218,865,931,746
2010,1238,1181,866,1651,2089,785,800,707,220,485,427,1563,1001
2011,1089,1791,972,842,258,358,1443,2219,2038,951,565,307,1069
2012,611,479,367,434,732,1773,840,704,197,337,370,254,592
2013,640,540,866,528,317,1552,1709,831,1104,1045,360,366,822
2014,823,360,939,432,470,3098,861,384,782,1147,557,596,871
2015,1031,837,639,518,475,945,1592,580,554,1797,1693,1575,1020
2016,1529,975,1211,607,775,1004,667,947,709,685,480,570,847
2017,971,806,454,259,586,1195,224,318,156,687,837,402,575
2018,1099,695,552,484,163,242,238,173,476,1468,633,280,542
2019,412,483,693,587,709,1612,395,180,313,301,333,382,533
2020,247,220,184,84,93,471,323,583,244,163,186,751,296
2021,939,840,508,217,159,260,281,207,318,853,396,147,427
